company,city,state,website,apollo_biz_type,verified_biz_type,verification_status,evidence,recommendation,notes
"Humphrey, Farrington & McClain, P.C.",Independence,Missouri,http://www.hfmlegal.com,food/bev general,Non-food (law practice),MISMATCH,Non-food name/industry: law practice,SKIP,Auto-skipped: clearly non-food business on food/bev list
Sunflower Foundation,Topeka,Kansas,http://www.sunflowerfoundation.org,food/bev general,Non-food (fund-raising),MISMATCH,Non-food business name,SKIP,Auto-skipped: clearly non-food business on food/bev list
Kansas City Girls Preparatory Academy,Kansas City,Missouri,http://www.kcgpa.org,food/bev general,Non-food (primary/secondary education),MISMATCH,Non-food name/industry: primary/secondary education,SKIP,Auto-skipped: clearly non-food business on food/bev list
Woods Chapel Church,Lee's Summit,Missouri,http://www.woodschapelchurch.org,food/bev general,Non-food (religious institutions),MISMATCH,Non-food name/industry: religious institutions,SKIP,Auto-skipped: clearly non-food business on food/bev list
"Exit 11 Coffee, LLC",Washington,Missouri,http://www.exit11coffee.com,bakery/cafe,bakery/cafe,OPEN,"Food business (food & beverages): exit 11 coffee is a fast-growing two-lane drive-thru coffee company, roastery, and wholesaler servin",REVEAL,MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
RestaurantLink,Overland Park,Kansas,http://www.restaurantlink.com,full-service restaurant,Non-food business,MISMATCH,Restaurant management software company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Hiway Inn,Girard,Kansas,,full-service restaurant,full-service restaurant,OPEN,Food business (restaurants): See Apollo data,REVEAL,Asian/ethnic cuisine; MO/KS territory; 3 locations. Confirmed food/restaurant business — proceed to Stage 3.
Stone Canyon Gladstone,Gladstone,Missouri,http://www.stonecanyonpizza.com,bar/brewery,bar/brewery,OPEN,"Food business (food & beverages): stone canyon pizza has been the perfect place for a quick lunch, social gathering with friends, or a",REVEAL,"KC metro; $13,323,000 rev; 2 locations. Confirmed food/restaurant business — proceed to Stage 3."
Post Coffee Company,Lee's Summit,Missouri,http://www.postcoffeecompany.com,bar/brewery,bar/brewery,OPEN,Food business (food & beverages): post coffee company is a locally owned coffee shop with four locations throughout the kansas city me,REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
V's Italiano Ristorante,Independence,Missouri,http://www.vsrestaurant.com,bakery/cafe,bakery/cafe,OPEN,"Food business (restaurants): the roots of v's italiano ristorante date back to 1963 when ""v"" (vita) and jay totta decided to open",REVEAL,"KC metro; $13,084,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
The Farmhouse KC,Kansas City,Missouri,http://www.eatatthefarmhouse.com,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): farm to table, tip to tail restaurant sourcing from local farmers from kansas and missouri.  by sour",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Sunnycrest Farm,Blue Mound,Kansas,http://www.sunnycrestfarmnh.com,bakery/cafe,bakery/cafe,OPEN,"Food/hospitality business (farming): sunnycrest farm apple farm offers pick-your-own apples, strawberries, blueberries and cherries, a fa",REVEAL,"MO/KS territory; $16,283,000 rev. Food business confirmed — proceed to Stage 3."
Eileen's Colossal Cookies - Kansas City,Kansas City,Missouri,,bakery/cafe,bakery/cafe,OPEN,"Food business (food & beverages): at eileen's colossal cookies - kansas city, we make all the dough and frosting daily  and cookies ar",REVEAL,"KC metro; $36,835,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Pirtle Winery,Weston,Missouri,http://www.pirtlewinery.com,bar/brewery,bar/brewery,OPEN,"Food business (food production): family-owned and operated since 1978, pirtle winery produces superior quality wines with a great dea",REVEAL,"KC metro; $39,084,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
ResourceOne International,Overland Park,Kansas,http://www.r1recruitment.com,full-service restaurant,Non-food business,MISMATCH,Staffing & recruiting company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"B & J Peerless Food Service Equipment, Inc.",Kansas City,Kansas,http://www.bjpeerless.com,full-service restaurant,Non-food business,MISMATCH,Food equipment dealer (not a restaurant),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Christopher Elbow Chocolates,Kansas City,Missouri,http://www.elbowchocolates.com,bar/brewery,bar/brewery,OPEN,"Food business (food & beverages): christopher elbow artisan chocolates, where modern artistry meets traditional handcraftsmanship, yie",REVEAL,"KC metro; $4,677,000 rev; 2 locations. Confirmed food/restaurant business — proceed to Stage 3."
The Brass Onion,Overland Park,Kansas,http://www.thebrassonion.com,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): the brass onion invites you to experience what makes us special. from the 
moment you arrive our war",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Jess & Jim’s Steak House,Kansas City,Missouri,http://www.jessandjims.com,full-service restaurant,full-service restaurant,OPEN,Food business (restaurants): jess and jims is a family owned restaurant that has been in business for over 74 years. the entire f,REVEAL,"KC metro; $8,561,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Governor Stumpy's Grill House,Kansas City,Missouri,http://www.governorstumpys.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $11,956,000 rev; 2 locations. Confirmed food business — proceed to Stage 3."
Manildra Group USA,Leawood,Kansas,http://www.manildrausa.com,bakery/cafe,Non-food business,MISMATCH,Wheat starch/protein manufacturer (B2B industrial),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
"Louisburg Cider Mill, Inc.",Louisburg,Kansas,http://www.louisburgcidermill.com,bar/brewery,bar/brewery,OPEN,"Food business (food & beverages): what started as a dream for emmett o'rear in 1977 of bringing him, his wife, mary, and their daughte",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Meat Mitch LLC,Prairie Village,Kansas,http://www.meatmitch.com,full-service restaurant,full-service restaurant,OPEN,"Food business (food & beverages): meat mitch is a competitive bbq team and bbq sauce supplier to kings and queens, hailing from the ho",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Watermark Books & Cafe,Wichita,Kansas,http://www.watermarkbooks.com,bakery/cafe,bakery/cafe,OPEN,Food/hospitality business: watermark books & cafe is a independent bookstore and has existed in wichita since 1977. watermark b,REVEAL,"MO/KS territory; $8,582,000 rev. Food/hospitality business in MO/KS — proceed to Stage 3."
Johns Farm,Walnut,Kansas,http://www.johnsfarms.com,bakery/cafe,bakery/cafe,OPEN,Industry is farming — unclear if food-primary from description,MANUAL CHECK,"MO/KS territory; $14,964,000 rev. Ambiguous — Edward should verify if this is a food/restaurant business."
Decision Insight by TELUS Consumer Goods,Kansas City,Missouri,http://www.decisioninsight.com,full-service restaurant,Non-food business,MISMATCH,Market research company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Nexus 5 Group,Merriam,Kansas,http://www.nexus5group.com,full-service restaurant,Non-food business,MISMATCH,Construction/multi-family company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Trezo Mare Restaurant and Lounge,Kansas City,Missouri,http://www.trezomare.com,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): located in the village at briarcliff, trezo mare is a scratch kitchen, serving all styles of handcra",REVEAL,"KC metro; $9,014,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Platte County Health Department,Kansas City,Missouri,http://www.plattecountyhealthdept.com,catering/food truck,Non-food business,MISMATCH,Government health agency,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Roots. Seasonal Cuisine,Lee's Summit,Missouri,http://www.rootsseasonalcuisine.com,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): cultivate sensational menu items utilizing the freshest ingredients, growing and
introducing new ide",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Ballard Center KS,Lawrence,Kansas,http://www.ballardcenter.org,catering/food truck,Non-food business,MISMATCH,Nonprofit child education center,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
BETTY RAE'S ICE CREAM LLC,Kansas City,Missouri,http://www.bettyraes.com,catering/food truck,catering/food truck,OPEN,Food business (food & beverages): scooping some of kansas city’s boldest ice cream flavors since 2016. kick traditional varieties to t,REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Chick N Max,Wichita,Kansas,http://www.chicknmax.com,catering/food truck,catering/food truck,OPEN,"Food business (food & beverages): chick n max is a fast casual restaurant chain based in wichita, kansas, founded in 2018 by max sheet",REVEAL,MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
ROMA BAKERY,Kansas City,Missouri,http://www.romabakerykc.com,bakery/cafe,bakery/cafe,OPEN,Food business (food & beverages): description,REVEAL,"KC metro; $20,612,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
CORVINO,Kansas City,Missouri,http://www.corvino.com,full-service restaurant,Full-service restaurant (CLOSED),CLOSED,Confirmed permanently closed per prior research — do not reveal,SKIP,Confirmed permanently closed per prior research — do not reveal
Heartland Waffles,Westwood,Kansas,http://www.heartlandwaffles.com,bakery/cafe,bakery/cafe,OPEN,"Food business (food & beverages): heartland waffles treats our customers to a great waffle experience every day, from the quality of o",REVEAL,"KC metro; $12,000,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Gram & Dun,Kansas City,Missouri,http://www.gramanddun.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $3,219,000 rev. Confirmed food business — proceed to Stage 3."
The KC Improv Company,Kansas City,Missouri,http://www.kansascitycomedy.com,bar/brewery,Entertainment (comedy theater),MISMATCH,Comedy theater/improv company — entertainment primary; food/bar is incidental,SKIP,Comedy theater/improv company — entertainment primary; food/bar is incidental
BRGR Kitchen + Bar,Kansas City,Missouri,http://www.brgrkitchen.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Radinas Coffeehouse And Roastery,Manhattan,Kansas,http://www.radinascoffee.com,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,"MO/KS territory; $13,285,000 rev; 2 locations. Confirmed food business — proceed to Stage 3."
PT's Coffee Roasting Co.,Topeka,Kansas,http://www.ptscoffee.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,"MO/KS territory; $4,111,000 rev; 4 locations. Confirmed food business — proceed to Stage 3."
"Acertus Consulting Group, LLC",Overland Park,Kansas,http://www.acertusgroup.com,full-service restaurant,full-service restaurant,OPEN,Industry: information technology & services — needs verification,MANUAL CHECK,"KC metro; $19,391,000 rev. Needs manual review."
Grand Street Cafe,Kansas City,Missouri,http://www.grandstreetkc.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $2,394,000 rev; 2 locations. Confirmed food business — proceed to Stage 3."
FireBoard,Kansas City,Missouri,http://www.fireboard.com,bar/brewery,Non-food (electrical/electronic manufacturing),MISMATCH,Non-food industry: electrical/electronic manufacturing,SKIP,Not a food/restaurant business — orig industry is electrical/electronic manufacturing
Brooksider Sportsbar & Grill,Kansas City,Missouri,http://www.brooksider.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: hospitality,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
GROUNDHOUSE COFFEE INC.,Gardner,Kansas,http://www.groundhousecoffee.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $14,519,000 rev. Confirmed food business — proceed to Stage 3."
Graves Foods,Jefferson City,Missouri,http://www.gravesfoods.com,full-service restaurant,Non-food (wholesale food distributor),MISMATCH,Full-line wholesale food distributor (B2B) — NOT a restaurant; too large for Anvo,SKIP,Full-line wholesale food distributor (B2B) — NOT a restaurant; too large for Anvo
Bengelina Hospitality Group,St. Louis,Missouri,http://www.bengelina.com,bakery/cafe,bakery/cafe,OPEN,"Food/hospitality business: a restaurant group by chef ben poremba.  created with love for food and people, bringing flavors and",REVEAL,MO/KS territory. Food/hospitality business in MO/KS — proceed to Stage 3.
Love to Travel,Overland Park,Kansas,http://www.lovetotravel.com,full-service restaurant,"Non-food (leisure, travel & tourism)",MISMATCH,"Non-food industry: leisure, travel & tourism",SKIP,"Not a food/restaurant business — orig industry is leisure, travel & tourism"
The Well,Kansas City,Missouri,http://www.waldowell.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Arthur Bryant's Barbeque,Kansas City,Missouri,http://www.arthurbryantsbbq.com,catering/food truck,catering/food truck,OPEN,"Food business (restaurants): arthur bryant's legendary barbeque
where is the home of the best barbeque in kansas city? welcome to",REVEAL,KC metro; 2 locations. Confirmed food/restaurant business — proceed to Stage 3.
The Don Bosco Centers,Kansas City,Missouri,http://www.donbosco.org,catering/food truck,catering/food truck,OPEN,Industry is nonprofit organization management — unclear if food-primary from description,MANUAL CHECK,KC metro. Ambiguous — Edward should verify if this is a food/restaurant business.
The Golden Scoop,Overland Park,Kansas,http://www.thegoldenscoop.org,bakery/cafe,bakery/cafe,OPEN,"Food business (food & beverages): the golden scoop is a nonprofit ice cream and coffee shop located in overland park, kansas city. fou",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Hy-Vee Fast & Fresh,Topeka,Kansas,http://www.hy-veefastandfresh.com,bakery/cafe,bakery/cafe,OPEN,Industry:  — needs verification,MANUAL CHECK,Asian/ethnic cuisine; MO/KS territory. Needs manual review.
Ginger Sue’s,Lee's Summit,Missouri,http://www.gingersues.com,full-service restaurant,full-service restaurant,OPEN,"Food business (restaurants): eat among friends. classic and contemporary breakfast, brunch and lunch. with fresh food, warm servi",REVEAL,KC metro. Confirmed food/restaurant business — proceed to Stage 3.
Brookside Barrio,Kansas City,Missouri,http://www.barriokc.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Askinosie Chocolate,Springfield,Missouri,http://www.askinosie.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,"MO/KS territory; $21,000,000 rev. Confirmed food business — proceed to Stage 3."
"Nationwide Transportation and Logistics Services, Inc.",Shawnee,Kansas,http://www.nationwidetransportation.com,food/bev general,Non-food business,MISMATCH,Freight brokerage (not food),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Spicin Foods,Kansas City,Kansas,http://www.spicinfoods.com,food/bev general,food/bev general,OPEN,Food business in MO/KS territory: food production,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Good Spirits Distilling,Olathe,Kansas,http://www.gsdalcohol.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
TREXCON INC.,Saint Joseph,Missouri,http://www.trexcon.com,full-service restaurant,Non-food (oil & energy),MISMATCH,Non-food industry: oil & energy,SKIP,Not a food/restaurant business — orig industry is oil & energy
Thelma's Kitchen,Kansas City,Missouri,http://www.thelmaskitchen.org,catering/food truck,catering/food truck,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
WheatFields Bakery Café,Lawrence,Kansas,http://www.wheatfieldsbakery.com,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: food production,REVEAL,"MO/KS territory; $11,538,000 rev. Confirmed food business — proceed to Stage 3."
"eNSYNC Solutions, Inc",Overland Park,Kansas,http://www.ensyncsolutions.com,bar/brewery,bar/brewery,OPEN,Industry: information technology & services — needs verification,MANUAL CHECK,"KC metro; $16,706,000 rev. Needs manual review."
Moms Restaurant,Marceline,Missouri,http://www.momschico.com,full-service restaurant,Non-food (recreational facilities & services),MISMATCH,Non-food industry: recreational facilities & services,SKIP,Not a food/restaurant business — orig industry is recreational facilities & services
Campo Lindo,Lathrop,Missouri,http://www.campolindofarms.com,full-service restaurant,Non-food (chicken farm),MISMATCH,"Free-range chicken/egg farm in Lathrop MO — agricultural operation, NOT food service",SKIP,"Free-range chicken/egg farm in Lathrop MO — agricultural operation, NOT food service"
Lon Lane's Inspired Occasions,Kansas City,Missouri,http://www.inspiredoccasionskc.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: events services,REVEAL,"KC metro; $31,070,000 rev. Confirmed food business — proceed to Stage 3."
DO DROP INN,Lee's Summit,Missouri,http://www.dodropinnpueblo.com,full-service restaurant,Wrong location,WRONG LOCATION,Website is for Pueblo CO location,SKIP,Apollo data mismatch — company/website is not located in MO/KS
Mr. Dell Foods,Kearney,Missouri,http://www.lls.com,food/bev general,Non-food (food manufacturer B2B),MISMATCH,IQF food manufacturer (B2B) — NOT a restaurant,SKIP,IQF food manufacturer (B2B) — NOT a restaurant
KC Cattle Company,Weston,Missouri,http://www.kccattlecompany.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Café Des Amis,Parkville,Missouri,http://www.cafedesamiskc.com,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Scratch Gourmet Kitchen,Prairie Village,Kansas,http://www.scratchgourmet.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Page Communications,Kansas City,Missouri,http://www.pagecomms.com,full-service restaurant,Non-food (public relations & communications),MISMATCH,Non-food industry: public relations & communications,SKIP,Not a food/restaurant business — orig industry is public relations & communications
SubTech,Lee's Summit,Missouri,http://www.ifgsupplies.com,bar/brewery,Non-food (wholesale food equipment/supplies),MISMATCH,"Wholesale food service supplier (website: ifgsupplies.com) — equipment dealer, NOT a restaurant",SKIP,"Wholesale food service supplier (website: ifgsupplies.com) — equipment dealer, NOT a restaurant"
The Mad Greek,Lawrence,Kansas,http://www.themadgreeklawrence.com,catering/food truck,catering/food truck,OPEN,"Food business (food & beverages): the mad greek has been a lawrence institution for over two decades.  
family owned and operated sinc",REVEAL,MO/KS territory. Confirmed food/restaurant business — proceed to Stage 3.
Pegah's Family Restaurant,Lenexa,Kansas,http://www.pegahs.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $280,000 rev. Confirmed food business — proceed to Stage 3."
Kansas City magazine,Overland Park,Kansas,http://www.kansascitymag.com,full-service restaurant,Non-food (publishing),MISMATCH,Non-food industry: publishing,SKIP,Not a food/restaurant business — orig industry is publishing
KBP Bells,Overland Park,Kansas,http://www.kbpbells.com,full-service restaurant,full-service restaurant,OPEN,"Taco Bell/KFC franchise group with 1,100+ locations — too large for Anvo",MANUAL CHECK,KC metro. Needs Edward's review before proceeding.
"SOMBRERO'S MEXICAN CANTINA, LLC",Shawnee,Kansas,http://www.sombreroskc.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Urban Table,Prairie Village,Kansas,http://www.urbantablekc.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Bissinger's Handcrafted Chocolatier,St. Louis,Missouri,http://www.bissingers.com,bakery/cafe,bakery/cafe,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,"MO/KS territory; $11,000,000 rev; 3 locations. Confirmed food business — proceed to Stage 3."
Hog Wild BBQ,Derby,Kansas,http://www.hogwildpitbbq.com,catering/food truck,catering/food truck,OPEN,Food business in MO/KS territory: executive office,REVEAL,"MO/KS territory; $13,608,000 rev; 3 locations. Confirmed food business — proceed to Stage 3."
C3 | Creative Consumer Concepts,Overland Park,Kansas,http://www.c3brandmarketing.com,full-service restaurant,Non-food business,MISMATCH,Brand marketing agency,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Frozen & Refrigerated Buyer,Olathe,Kansas,http://www.frbuyer.com,food distributor/grocer,Non-food business,MISMATCH,Trade publication (not a restaurant),SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Tabco,Kansas City,Kansas,http://www.tabcoinc.com,food/bev general,Non-food business,MISMATCH,Commercial label printer,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Rollstock™,Kansas City,Missouri,http://www.rollstock.com,bar/brewery,Non-food business,MISMATCH,Packaging machinery company,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
The Restaurant at 1900,Mission,Kansas,http://www.therestaurantat1900.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
McGregor's Butcher and Bistro,Overland Park,Kansas,http://www.mcgregorsbutcherandbistro.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Essig Family McDonald's,Reeds,Missouri,http://www.essigmcd.com,full-service restaurant,full-service restaurant,OPEN,"37 McDonald's locations — large franchise, likely has national broker",MANUAL CHECK,MO/KS territory. Needs Edward's review before proceeding.
Twisted Fresh,Kansas City,Missouri,http://www.twistedfresh.com,catering/food truck,catering/food truck,OPEN,"Food business (restaurants): it's simple. we believe that fast casual food can be fresh, healthy, and full of flavor. gourmet tac",REVEAL,"KC metro; $317,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Reconciliation Services,Kansas City,Missouri,http://www.rs3101.org,bakery/cafe,Non-food (individual & family services),MISMATCH,Non-food industry: individual & family services,SKIP,Not a food/restaurant business — orig industry is individual & family services
Park Lanes Family Fun Center,Shawnee,Kansas,http://www.parklaneskc.com,bar/brewery,Entertainment (bowling/fun center),MISMATCH,Bowling alley/family entertainment center — entertainment primary; restaurant is secondary,SKIP,Bowling alley/family entertainment center — entertainment primary; restaurant is secondary
"Trimac Industrial Systems, LLC",Kansas City,Kansas,http://www.trimacsystems.com,food/bev general,Non-food business,MISMATCH,Industrial oven manufacturer,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Olive Cafe,Kansas City,Missouri,http://www.olivecafe.biz,bakery/cafe,Wrong location,WRONG LOCATION,Website San Diego CA (858 area code),SKIP,Apollo data mismatch — company/website is not located in MO/KS
Guaranteed Foods Inc,Shawnee,Kansas,http://www.guaranteedfoods.com,food manufacturing,food manufacturing,OPEN,"Food business (food & beverages): guaranteed foods, inc., is a direct-to-home foodservice, founded in kansas city in 1958 with the obj",REVEAL,"KC metro; $9,221,000 rev. Confirmed food/restaurant business — proceed to Stage 3."
Smokehouse BBQ KC,Independence,Missouri,http://www.smokehousebbq.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: restaurants,REVEAL,KC metro; 6 locations. Confirmed food business — proceed to Stage 3.
Olive Events + Catering,Kansas City,Kansas,http://www.oliveeventscatering.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
Paragon Star,Lee's Summit,Missouri,http://www.paragonstar.com,full-service restaurant,Non-food (performing arts),MISMATCH,Non-food industry: performing arts,SKIP,Not a food/restaurant business — orig industry is performing arts
Frontier Steakhouse,Kansas City,Kansas,http://www.frontiertampasteakhouse.com,full-service restaurant,Wrong location,WRONG LOCATION,Website domain suggests Tampa FL,SKIP,Apollo data mismatch — company/website is not located in MO/KS
"WESTAR FOODS, INC.",Overland Park,Kansas,http://www.westarfoods.com,full-service restaurant,full-service restaurant,OPEN,Hardee's franchisee — Iowa/Nebraska locations (wrong territory?),MANUAL CHECK,"KC metro; $8,204,000 rev. Needs Edward's review before proceeding."
Paulo and Bill,Shawnee,Kansas,http://www.pauloandbill.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,"KC metro; $17,369,000 rev. Confirmed food business — proceed to Stage 3."
"The Williams-Carver Company, Inc.",Kansas City,Kansas,http://www.williamscarver.com,food/bev general,Non-food (equipment/ingredient supplier B2B),MISMATCH,Supplies food/dairy/pharma industries with equipment & ingredients (B2B) — NOT a restaurant,SKIP,Supplies food/dairy/pharma industries with equipment & ingredients (B2B) — NOT a restaurant
Rainy Day Books,Fairway,Kansas,http://www.rainydaybooks.com,food/bev general,Non-food business,MISMATCH,Independent bookstore,SKIP,Not a food/restaurant business despite appearing in food/bev Apollo list
Food Link USA,Overland Park,Kansas,http://www.foodlinkusa.com,food/bev general,Non-food (surplus food broker B2B),MISMATCH,Buys/sells surplus food ingredients (B2B only) — NOT a restaurant,SKIP,Buys/sells surplus food ingredients (B2B only) — NOT a restaurant
Outlaw Cigar Company Inc,Kansas City,Missouri,http://www.outlawcigar.com,bar/brewery,Non-food business,MISMATCH,Name indicates non-food business; industry: apparel & fashion,SKIP,Non-food company on food/bev Apollo list
Operation BBQ Relief,Peculiar,Missouri,http://www.operationbbqrelief.org,full-service restaurant,Non-food (nonprofit disaster relief),MISMATCH,Nonprofit BBQ disaster relief organization — NOT a commercial restaurant,SKIP,Nonprofit BBQ disaster relief organization — NOT a commercial restaurant
Apex Restaurant and Market Solutions Inc.,Kansas City,Missouri,,full-service restaurant,Non-food (corporate dining/vending mgmt),MISMATCH,Corporate dining/vending/micro-market management company (B2B) — NOT a direct food service operation,SKIP,Corporate dining/vending/micro-market management company (B2B) — NOT a direct food service operation
Just Like You Films,Kansas City,Missouri,http://www.justlikeyoufilms.org,food/bev general,Non-food (media production),MISMATCH,Non-food industry: media production,SKIP,Not a food/restaurant business — orig industry is media production
Martinous Produce Inc,Pittsburg,Kansas,http://www.martinousproduce.com,food/bev general,Non-food (wholesale produce B2B),MISMATCH,Wholesale produce/vegetable distributor (B2B) — NOT a restaurant,SKIP,Wholesale produce/vegetable distributor (B2B) — NOT a restaurant
Timber Creek Bar & Grill,Louisburg,Kansas,http://www.timbercreeklouisburg.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: consumer services,REVEAL,KC metro; 3 locations. Confirmed food business — proceed to Stage 3.
"Tiger Cool Express, LLC",Overland Park,Kansas,http://www.tigercoolexpress.com,food/bev general,Non-food (transportation/trucking/railroad),MISMATCH,Non-food industry: transportation/trucking/railroad,SKIP,Not a food/restaurant business — orig industry is transportation/trucking/railroad
bluetree casework,Saint Joseph,Missouri,http://www.gobluetree.com,full-service restaurant,Non-food (restaurant décor supplier),MISMATCH,Restaurant interior décor/casework supplier — NOT a food service operation,SKIP,Restaurant interior décor/casework supplier — NOT a food service operation
Wein- und Sektkellerei Josef Drathen GmbH & Co. KG,Overland Park,Kansas,http://www.josef-drathen.de,bar/brewery,Non-food (German winery US sales office),MISMATCH,"German winery with Overland Park KS as likely US sales office — B2B wine import, not a restaurant",SKIP,"German winery with Overland Park KS as likely US sales office — B2B wine import, not a restaurant"
The Museum of Art + Light,Manhattan,Kansas,http://www.artlightmuseum.org,full-service restaurant,full-service restaurant,OPEN,Art museum — not food-primary,MANUAL CHECK,MO/KS territory. Needs Edward's review before proceeding.
Kaffe Haus,Higginsville,Missouri,http://www.kaffehaus.com,full-service restaurant,full-service restaurant,OPEN,Food business in MO/KS territory: restaurants,REVEAL,MO/KS territory. Confirmed food business — proceed to Stage 3.
Brew Haha Coffeehouse,Overland Park,Kansas,http://www.brewhahacoffeehouse.com,bar/brewery,bar/brewery,OPEN,Food business in MO/KS territory: food & beverages,REVEAL,KC metro. Confirmed food business — proceed to Stage 3.
"Healthy Meals, INC.",Riverside,Missouri,http://www.healthymealsinc.com,food manufacturing,food manufacturing,OPEN,Food business in MO/KS territory: food production,REVEAL,"KC metro; $6,644,000 rev. Confirmed food business — proceed to Stage 3."
"IodiTech, Inc.",Kansas City,Missouri,http://www.ioditech.com,food/bev general,Non-food (chemicals),MISMATCH,Non-food industry: chemicals,SKIP,Not a food/restaurant business — orig industry is chemicals
